timestamp,UP
1140882,39610
1141382,39610
1141882,39609
1142382,39610
1142882,39612
1143382,39612
1143882,39609
1144382,39608
1144882,39611
1145382,39610
1145882,39610
1146382,39610
1146882,39610
1147382,39610
1147882,39612
1148382,39608
1148882,39610
1149382,39612
1149882,39612
1150382,39613
1150882,39614
1151382,39616
1151882,39617
1152382,39618
1152882,39619
1153382,39621
1153882,39619
1154382,39620
1154882,39621
1155382,39621
1155883,39622
1156382,39624
1156882,39623
1157382,39622
1157882,39624
1158382,39624
1158882,39623
1159382,39626
1159882,39624
1160382,39624
1160882,39626
1161382,39624
1161882,39628
1162382,39627
1162882,39627
1163382,39622
1163882,39622
1164382,39622
1164882,39623
1165382,39621
1165882,39624
1166382,39622
1166882,39622
1167382,39625
1167882,39623
1168382,39622
1168882,39621
1169382,39621
1169882,39619
1170382,39623
1170882,39621
1171382,39623
1171883,39622
1172382,39620
1172882,39621
1173382,39624
1173882,39621
1174382,39623
1174882,39621
1175382,39621
1175882,39621
1176382,39622
1176882,39623
1177382,39619
1177882,39619
1178382,39622
1178882,39622
1179382,39623
1179882,39624
1180382,39623
1180882,39622
1181382,39622
1181882,39624
1182382,39622
1182882,39624
1183382,39625
1183882,39622
1184382,39624
1184882,39624
1185382,39625
1185882,39625
1186382,39627
1186882,39623
1187382,39623
1187883,39623
1188382,39624
1188882,39620
1189382,39621
1189882,39624
1190382,39623
1190882,39622
1191382,39624
1191882,39624
1192382,39624
1192882,39623
1193382,39622
1193882,39622
1194382,39622
1194882,39622
1195382,39621
1195882,39622
1196382,39620
1196882,39620
1197382,39623
1197882,39621
1198382,39621
1198882,39623
1199382,39619
1199882,39621
1200382,39622
1200882,39622
1201382,39622
1201882,39622
1202382,39619
1202882,39620
1203382,39620
1203883,39619
1204382,39619
1204882,39619
1205382,39618
1205882,39618
1206382,39620
1206882,39618
1207382,39616
1207882,39617
1208382,39620
1208882,39618
1209382,39619
1209882,39620
1210382,39620
1210882,39620
1211382,39618
1211882,39618
1212382,39620
1212882,39620
1213382,39620
1213882,39622
1214382,39620
1214882,39621
1215382,39623
1215882,39625
1216382,39624
1216882,39624
1217382,39623
1217882,39625
1218382,39625
1218882,39628
1219382,39626
1219883,39624
1220382,39624
1220882,39626
1221382,39626
1221882,39628
1222382,39628
1222882,39628
1223382,39627
1223882,39628
1224382,39628
1224882,39627
1225382,39624
1225882,39625
1226382,39628
1226882,39627
1227382,39624
1227882,39625
1228382,39625
1228882,39624
1229382,39627
1229882,39626
1230382,39626
1230882,39628
1231382,39623
