timestamp,UP,Pressure (Pa)
658382,39756,120199
658882,39753,120190
659382,39755,120196
659883,39752,120187
660382,39751,120184
660882,39754,120193
661382,39756,120199
661882,39754,120193
662382,39752,120187
662882,39753,120190
663382,39754,120193
663882,39755,120196
664382,39754,120193
664882,39753,120190
665382,39753,120190
665882,39752,120187
666382,39754,120193
666882,39754,120193
667382,39754,120193
667882,39755,120196
668382,39760,120210
668882,39760,120210
669382,39758,120205
669882,39758,120205
670382,39758,120205
670882,39758,120205
671382,39759,120208
671882,39760,120210
672382,39759,120208
672882,39759,120208
673382,39759,120208
673882,39761,120213
674382,39757,120202
674882,39758,120205
675382,39759,120208
675883,39758,120205
676382,39756,120199
676882,39756,120199
677382,39757,120202
677882,39758,120205
678382,39756,120199
678882,39755,120196
679382,39753,120190
679882,39756,120199
680382,39754,120193
680882,39754,120193
681382,39751,120184
681882,39752,120187
682382,39755,120196
682882,39754,120193
683382,39752,120187
683882,39750,120181
684382,39751,120184
684882,39752,120187
685382,39752,120187
685882,39752,120187
686382,39751,120184
686882,39750,120181
687382,39749,120178
687882,39749,120178
688382,39751,120184
688882,39750,120181
689382,39747,120172
689882,39747,120172
690382,39748,120175
690882,39744,120162
691382,39746,120169
691883,39746,120169
692382,39746,120169
692882,39743,120159
693382,39743,120159
693882,39745,120165
694382,39741,120153
694882,39742,120156
695382,39745,120165
695882,39740,120150
696382,39740,120150
696882,39742,120156
697382,39740,120150
697882,39741,120153
698382,39744,120162
698882,39740,120150
699382,39739,120147
699882,39741,120153
700382,39742,120156
700882,39741,120153
701382,39742,120156
701882,39741,120153
702382,39740,120150
702882,39740,120150
703382,39738,120144
703882,39737,120141
704382,39738,120144
704882,39739,120147
705382,39739,120147
705882,39737,120141
706382,39736,120138
706882,39738,120144
707382,39736,120138
707883,39736,120138
708382,39736,120138
708882,39736,120138
709382,39735,120135
709882,39733,120129
710382,39737,120141
710882,39732,120126
711382,39736,120138
711882,39735,120135
712382,39735,120135
712882,39732,120126
713382,39733,120129
713882,39734,120132
714382,39734,120132
714882,39732,120126
715382,39732,120126
715882,39732,120126
716382,39732,120126
716882,39731,120123
717382,39732,120126
717882,39731,120123
718382,39734,120132
718882,39732,120126
719382,39731,120123
719882,39731,120123
720382,39731,120123
720882,39728,120114
721382,39730,120120
721882,39728,120114
722382,39727,120111
722882,39729,120117
723382,39730,120120
723883,39727,120111
724382,39728,120114
724882,39729,120117
725382,39727,120111
725882,39727,120111
726382,39725,120104
726882,39726,120107
727382,39724,120101
727882,39726,120107
728382,39725,120104
728882,39726,120107
729382,39727,120111
729882,39725,120104
730382,39727,120111
730882,39728,120114
731382,39728,120114
731882,39726,120107
732382,39726,120107
732882,39726,120107
733382,39726,120107
733882,39727,120111
734382,39729,120117
734882,39728,120114
735382,39726,120107
735882,39727,120111
736382,39727,120111
736882,39727,120111
737382,39728,120114
737882,39727,120111
738382,39727,120111
738882,39727,120111
739382,39727,120111
739883,39727,120111
740382,39728,120114
740882,39728,120114
741382,39728,120114
741882,39729,120117
742382,39728,120114
742882,39729,120117
743382,39730,120120
743882,39730,120120
744382,39730,120120
744882,39730,120120
745382,39731,120123
745882,39734,120132
746382,39730,120120
746882,39728,120114
747382,39732,120126
747882,39730,120120
748382,39732,120126
748882,39729,120117
749382,39731,120123
749882,39733,120129
750382,39731,120123
750882,39729,120117
751382,39732,120126
751882,39732,120126
752382,39732,120126
752882,39731,120123
753382,39731,120123
753882,39733,120129
754382,39731,120123
754882,39732,120126
755382,39732,120126
755883,39730,120120
756382,39732,120126
756882,39730,120120
757382,39726,120107
757882,39729,120117
758382,39726,120107
758882,39728,120114
759382,39730,120120
759882,39730,120120
760382,39728,120114
760882,39728,120114
761382,39726,120107
761882,39725,120104
762382,39725,120104
762882,39726,120107
763382,39728,120114
763882,39726,120107
764382,39725,120104
764882,39725,120104
765382,39724,120101
765882,39723,120098
766382,39724,120101
766882,39725,120104
767382,39722,120095
767882,39723,120098
768382,39725,120104
768882,39722,120095
769382,39720,120087
769882,39722,120095
770382,39722,120095
770882,39719,120084
771382,39721,120090
771883,39722,120095
772382,39719,120084
772882,39721,120090
773382,39716,120075
